Tipo_Vetor,Tamanho_Vetor,Algoritmo,Tempo_Medio_ms
Aleatórios,100,QuickSortCentral,0.0032
Aleatórios,100,QuickSortRandomico,0.0174
Aleatórios,100,QuickSortMediana3,0.0176
Aleatórios,100,QuickSortUltimo,0.0046
Aleatórios,200,QuickSortCentral,0.0074
Aleatórios,200,QuickSortRandomico,0.0246
Aleatórios,200,QuickSortMediana3,0.0340
Aleatórios,200,QuickSortUltimo,0.0082
Aleatórios,500,QuickSortCentral,0.0284
Aleatórios,500,QuickSortRandomico,0.0592
Aleatórios,500,QuickSortMediana3,0.0882
Aleatórios,500,QuickSortUltimo,0.0282
Aleatórios,1000,QuickSortCentral,0.0738
Aleatórios,1000,QuickSortRandomico,0.1622
Aleatórios,1000,QuickSortMediana3,0.2168
Aleatórios,1000,QuickSortUltimo,0.0912
Aleatórios,2000,QuickSortCentral,0.2942
Aleatórios,2000,QuickSortRandomico,0.2958
Aleatórios,2000,QuickSortMediana3,0.4656
Aleatórios,2000,QuickSortUltimo,0.4712
Aleatórios,5000,QuickSortCentral,1.1132
Aleatórios,5000,QuickSortRandomico,1.3354
Aleatórios,5000,QuickSortMediana3,1.2468
Aleatórios,5000,QuickSortUltimo,0.7576
Aleatórios,7500,QuickSortCentral,1.5622
Aleatórios,7500,QuickSortRandomico,1.3902
Aleatórios,7500,QuickSortMediana3,1.6440
Aleatórios,7500,QuickSortUltimo,1.1482
Aleatórios,10000,QuickSortCentral,1.2848
Aleatórios,10000,QuickSortRandomico,1.7948
Aleatórios,10000,QuickSortMediana3,1.9914
Aleatórios,10000,QuickSortUltimo,1.5804
Aleatórios,15000,QuickSortCentral,2.2692
Aleatórios,15000,QuickSortRandomico,2.5526
Aleatórios,15000,QuickSortMediana3,3.0756
Aleatórios,15000,QuickSortUltimo,2.3086
Aleatórios,30000,QuickSortCentral,4.5056
Aleatórios,30000,QuickSortRandomico,4.9746
Aleatórios,30000,QuickSortMediana3,6.1796
Aleatórios,30000,QuickSortUltimo,4.9796
Aleatórios,50000,QuickSortCentral,7.5124
Aleatórios,50000,QuickSortRandomico,8.0938
Aleatórios,50000,QuickSortMediana3,9.9482
Aleatórios,50000,QuickSortUltimo,7.4708
Aleatórios,75000,QuickSortCentral,11.1004
Aleatórios,75000,QuickSortRandomico,12.1764
Aleatórios,75000,QuickSortMediana3,14.3566
Aleatórios,75000,QuickSortUltimo,11.7760
Aleatórios,100000,QuickSortCentral,14.8096
Aleatórios,100000,QuickSortRandomico,15.7044
Aleatórios,100000,QuickSortMediana3,18.7536
Aleatórios,100000,QuickSortUltimo,15.6812
Aleatórios,200000,QuickSortCentral,34.5388
Aleatórios,200000,QuickSortRandomico,30.8916
Aleatórios,200000,QuickSortMediana3,36.9318
Aleatórios,200000,QuickSortUltimo,30.6740
Aleatórios,500000,QuickSortCentral,73.1648
Aleatórios,500000,QuickSortRandomico,77.1420
Aleatórios,500000,QuickSortMediana3,92.1108
Aleatórios,500000,QuickSortUltimo,75.2140
Aleatórios,750000,QuickSortCentral,111.1836
Aleatórios,750000,QuickSortRandomico,117.2798
Aleatórios,750000,QuickSortMediana3,140.4606
Aleatórios,750000,QuickSortUltimo,132.3474
Aleatórios,1000000,QuickSortCentral,153.7132
Aleatórios,1000000,QuickSortRandomico,183.9944
Aleatórios,1000000,QuickSortMediana3,212.7542
Aleatórios,1000000,QuickSortUltimo,124.5352
Aleatórios,1250000,QuickSortCentral,189.3288
Aleatórios,1250000,QuickSortRandomico,175.9240
Aleatórios,1250000,QuickSortMediana3,210.0118
Aleatórios,1250000,QuickSortUltimo,139.9580
